x,y,z,radial,toroidal angle
0.498230574,-0.057316813,-1.473905378,0.501516622,-0.114537232
0.498066665,-0.058950075,-1.473878867,0.501543133,-0.117809724
0.497897403,-0.060582878,-1.473852355,0.501569645,-0.121082217
0.497722789,-0.062215204,-1.473825841,0.501596159,-0.124354709
0.497542825,-0.063847037,-1.473799326,0.501622674,-0.127627202
0.497357512,-0.065478359,-1.47377281,0.50164919,-0.130899694
0.497166852,-0.067109151,-1.473746292,0.501675708,-0.134172186
0.496970845,-0.068739397,-1.473719772,0.501702228,-0.137444679
0.496769494,-0.070369079,-1.473693252,0.501728748,-0.140717171
0.496562799,-0.071998179,-1.473666729,0.501755271,-0.143989663
0.496350764,-0.073626681,-1.473640206,0.501781794,-0.147262156
0.496133389,-0.075254566,-1.473613681,0.501808319,-0.150534648
0.495910676,-0.076881816,-1.473587155,0.501834845,-0.15380714
0.495682627,-0.078508415,-1.473560627,0.501861373,-0.157079633
0.495449244,-0.080134346,-1.473534098,0.501887902,-0.160352125
0.495210528,-0.081759589,-1.473507567,0.501914433,-0.163624617
0.494966483,-0.083384129,-1.473481035,0.501940965,-0.16689711
0.494717109,-0.085007947,-1.473454502,0.501967498,-0.170169602
0.494462409,-0.086631026,-1.473427967,0.501994033,-0.173442094
0.494202386,-0.088253348,-1.473401431,0.502020569,-0.176714587
0.49393704,-0.089874897,-1.473374894,0.502047106,-0.179987079
0.493666376,-0.091495655,-1.473348355,0.502073645,-0.183259571
0.493390394,-0.093115603,-1.473321814,0.502100186,-0.186532064
0.493109098,-0.094734726,-1.473295273,0.502126727,-0.189804556
0.492822489,-0.096353004,-1.47326873,0.50215327,-0.193077048
0.492530571,-0.097970422,-1.473242185,0.502179815,-0.196349541
0.492233345,-0.099586961,-1.473215639,0.502206361,-0.199622033
0.491930815,-0.101202604,-1.473189092,0.502232908,-0.202894525
0.491622984,-0.102817334,-1.473162543,0.502259457,-0.206167018
0.491309853,-0.104431133,-1.473135993,0.502286007,-0.20943951
0.490991426,-0.106043984,-1.473109441,0.502312559,-0.212712003
0.490667705,-0.10765587,-1.473082888,0.502339112,-0.215984495
0.490338694,-0.109266772,-1.473056334,0.502365666,-0.219256987
0.490004395,-0.110876675,-1.473029778,0.502392222,-0.22252948
